ax_mean,ax_std,ax_min,ax_max,ax_energy,ay_mean,ay_std,ay_min,ay_max,ay_energy,az_mean,az_std,az_min,az_max,az_energy,gx_mean,gx_std,gx_min,gx_max,gx_energy,gy_mean,gy_std,gy_min,gy_max,gy_energy,gz_mean,gz_std,gz_min,gz_max,gz_energy,sma,label
-1144.28,679.7107880392103,-2180,296,1769073.44,-2728.78,532.9541747296938,-4112,-1940,7728860.24,14841.4,270.7454811772293,13768,16260,220340090.6,-173.46,296.89354537684403,-1191,1498,117793.42,7.915,406.04906970716024,-1385,2910,164114.115,-212.55,160.1362093,-936,512,70692.89,6240.486666666667,0
-1301.12,739.4933656,-2116,684,2237029.44,-2699.38,532.8327781276563,-4112,-1940,7569143.6,14825.06,257.66683408412246,13768,16260,219848464.2,-154.065,306.9126711518569,-1254,1498,117460.435,10.085,475.7724824432906,-1637,2910,225329.365,-208.28,163.50978210560098,-936,512,69982.33,6301.626666666667,0
-1286.44,643.4903304845658,-1908,684,2066937.28,-2742.38,370.1892706176153,-4088,-1984,7657002.96,14836.22,143.25109416650017,14360,15440,220133842.2,-196.66,186.05814296292994,-1254,542,73119.7,-7.89,333.2478937569859,-1637,1679,110561.14,-208.29,92.70678854979327,-748,138,51936.3,6314.786666666667,0
-1521.52,64.51122453,-1716,-1300,2319164,-2526.28,82.64230365,-2824,-2340,6388886.24,14865.68,89.05837733118835,14688,15096,220996333.6,-191.505,39.499506707688816,-302,-92,38226.575,-0.165,30.638068332644256,-110,83,934.025,-205.435,25.58355657124652,-333,-136,42854.785,6304.493333333333,0
-1256,615.5863650734327,-1752,776,1954587.84,-2531.06,126.1722377063956,-3052,-2308,6422104.56,14878.2,120.36711015069753,14400,15420,221375251,-210.04,138.23193821877268,-753,563,63129.33,-21.56,211.09055524244286,-1271,684,44801.26,-207.77,55.95535819340954,-609,-9,46283.72,6248.073333333334,0
-922.02,762.9599063472912,-1788,776,1429318.16,-2726.28,236.10218722847605,-3512,-2308,7488068.16,14866.38,155.4018153726189,14400,15420,221033283.3,-210.2,236.04762742306966,-1301,682,99623.93,-12.77,303.6692314189121,-1532,818,91917,-197.375,114.37311933813679,-675,237,51972.695,6203.026666666667,0
-1180.36,668.0359500451782,-2288,252,1837290.4,-2834.14,224.3324444393648,-3600,-2404,8082422.96,14843.36,143.65309414449254,14448,15272,220345869.1,-198.71,274.3512876682487,-1493,837,114377.95,11.15,334.91386052214864,-2302,1664,111730.78,-196.525,129.92544972959374,-750,256,55418.295,6291.1,0
-988.26,881.2251022321254,-2288,1648,1749332.72,-3047.9,427.0127979911623,-4020,-2224,9471122.64,14827.14,237.30170860009122,14096,16668,219900111.1,-219.51,402.7396005226525,-1520,2130,209572.83,12.875,561.5858820246884,-2302,2440,313967.575,-212.37,164.1510307750841,-986,347,71911.85,6351.046666666667,0
-580.86,915.2316786080114,-1628,1740,1170859.12,-3400.4,438.2162106040589,-4268,-2224,11753793.44,14774.58,274.2411065515399,14096,16668,218363046.3,-237.915,435.4145575882816,-1938,2130,245241.455,28.645,647.8688363554795,-1903,2855,418455.895,-209.02,177.65230453482067,-986,347,75091.9,6373.106666666667,0
-752.36,861.2462341159435,-1576,1740,1304081.92,-3631.22,369.05914820577453,-4328,-2496,13321282.32,14691.62,201.92026786052045,14220,15440,215884266.2,-217.635,338.65424144879137,-1938,1399,161478.255,6.585,537.8264302919697,-2272,2855,287854.345,-198.24,152.85577134727643,-809,413,62547.16,6457.68,0
